fold,model,n_train,n_test,tuned,tune_score,params,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_win,sigma_total,sigma_margin,sigma_k_total,sigma_k_margin,n_cal
5,gbt,1800,200,False,,,0.35146945578771593,1.0657044472013255,0.15951120408708858,0.7074257707613055,0.855,0.965,0.910203670237452,1.0011891569900169,0.02288808453128572,0.3551178488282945,0.3906160251010103,0.6308195110592167,1.6528239190705833,270.0
5,xgboost,1800,200,True,1.5504247684648333,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 3.0, ""n_estimators"": 1390, ""n_jobs"": -1, ""reg_lambda"": 0.5, ""subsample"": 0.8}",0.049078941345214844,0.2957182947365691,0.02767258198446143,0.24376922435497758,0.89,0.955,0.0768897607922554,0.07689294964075089,0.02477409527095528,0.03,0.03,3.0,3.0,270.0
5,catboost,1800,200,True,2.052710221804171,"{""depth"": 5, ""iterations"": 1184, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""subsample"": 0.9}",0.15260476977645396,0.2440972143458684,0.11580141876431714,0.30248091403951194,0.96,0.92,1.0283888280882265,0.5407641567265692,0.03355650741207589,0.40122803316588396,0.21098025677053783,3.0,3.0,270.0
6,ridge,2000,200,False,,,9.50517659969563e-05,0.00011888882147770657,6.22591198942013e-05,8.129056343092562e-05,1.0,1.0,0.07689309393268218,0.07689309393267593,0.00875034846549459,0.03,0.03,3.0,3.0,300.0
6,random_forest,2000,200,False,,,0.015029131944444067,0.11359594630451691,0.12120938492063482,1.1040159468564474,0.99,0.975,0.9168619785388614,0.6733534412183815,0.008750000397402648,0.3577156016149986,0.26271024097740336,1.1445675158370074,3.0,300.0
6,gbt,2000,200,False,,,0.22020884545198866,0.6132718097523016,0.27158055177817464,1.4981081829519096,0.89,0.95,0.958566001082686,1.138946957179968,0.010538331090169092,0.3739865124644174,0.44436251642202473,0.6452269020118376,1.6240509150109899,300.0
6,xgboost,2000,200,True,1.6179097505573399,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 5.0, ""n_estimators"": 517, ""n_jobs"": -1, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.03317142486572266,0.07487503732645262,0.16156911591369863,1.2486129881507717,0.95,0.94,0.34258973598480225,0.1368103176355362,0.009813810852154894,0.1336601902223926,0.05337684099128206,3.0,3.0,300.0
6,catboost,2000,200,True,1.7770492587432953,"{""depth"": 4, ""iterations"": 2074, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""subsample"": 0.8}",0.0721659497178868,0.1033751283080716,0.13194945884780712,0.8997997210725338,0.98,0.945,0.493709369999749,0.3109522787375454,0.011237054967028213,0.19262173418279543,0.12131867616478043,3.0,3.0,300.0
7,ridge,2200,200,False,,,8.044731921554416e-05,0.0001021046532111571,5.861677971369161e-05,7.56042244061258e-05,1.0,1.0,0.0768930939326819,0.07689309393267582,0.006251076408697376,0.03,0.03,3.0,3.0,330.0
7,random_forest,2200,200,False,,,0.03275648358585816,0.18580297337853768,0.01958276289682553,0.14575903321936978,0.97,0.99,0.8739579351857568,1.3515457796824353,0.006317058045673114,0.34097650015915054,0.5273083877464151,1.1840857210667892,3.0,330.0
7,gbt,2200,200,False,,,0.37175481143069095,1.6212495618188465,0.1764099747487109,0.6493451042366709,0.9,0.96,0.9631786305950822,1.5096167948528063,0.006389602691709207,0.3757861394308321,0.5889801220020704,0.685506590578989,1.6560801000013488,330.0
7,xgboost,2200,200,True,1.5798222468463272,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 3.0, ""n_estimators"": 1201, ""n_jobs"": -1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.05065549850463867,0.28541967663464074,0.022920554592114967,0.1911995869335907,0.895,0.96,0.09539798647165298,0.07689294964075089,0.005015925502982039,0.03722001127912372,0.03,3.0,3.0,330.0
7,catboost,2200,200,True,1.8600694586837276,"{""depth"": 4, ""iterations"": 2883, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.02, ""subsample"": 0.8}",0.07710019348097141,0.19040948170102595,0.052048071715153625,0.08900361551376437,0.96,0.945,0.42684573744563037,0.2901141772908807,0.010840789485030526,0.16653474933107146,0.11318864768722557,3.0,3.0,330.0
8,ridge,2400,200,False,,,8.143495666512734e-05,0.00010141965274391653,5.0105198561796185e-05,6.207615399490891e-05,1.0,1.0,0.0768930939326819,0.07689309393267589,0.006258581344029918,0.03,0.03,3.0,3.0,360.0
8,random_forest,2400,200,False,,,0.05817906746031778,0.6773917240213038,0.009799503968253943,0.08191086162922673,0.985,0.995,0.7535691605546336,1.1853306111192339,0.00627105568878427,0.2940065701665316,0.46245919516142264,1.2576364218533,3.0,360.0
8,gbt,2400,200,False,,,0.3087897316290017,1.630264762960181,0.1157372967953128,0.42509361862747136,0.925,0.96,0.9339790916858695,1.325068940129467,0.006361047353415892,0.3643938787936954,0.5169783939073782,0.6803492445573593,1.4345248157186188,360.0
8,xgboost,2400,200,True,1.7729254042382043,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1.0, ""n_estimators"": 694, ""n_jobs"": -1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.042636165618896486,0.43848349749129306,0.010371162217434176,0.14028597517214816,0.955,0.99,0.07688972353935242,0.0768929272890091,0.006233434281935093,0.03,0.03,3.0,3.0,360.0
8,catboost,2400,200,True,1.6266060843896895,"{""depth"": 4, ""iterations"": 2399, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.02, ""subsample"": 0.8}",0.1303930597549153,0.733441425093664,0.04575672373131285,0.10980393115290175,0.96,0.97,0.5068773272124076,0.3243706270115325,0.003260019675010293,0.19775923998696632,0.12655387256059797,3.0,3.0,360.0
