2026-02-01 14:40:51,605 - INFO - ======================================================================
2026-02-01 14:40:51,605 - INFO - ADDING DATES FROM GAME IDs
2026-02-01 14:40:51,605 - INFO - ======================================================================
2026-02-01 14:40:51,658 - INFO - 📊 Loaded 3520 pregame games
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300161: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300162: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300163: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300164: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300165: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300166: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300167: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300168: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300169: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300170: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300171: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300172: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300173: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300174: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300175: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300176: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300177: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300178: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300179: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300180: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300181: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300182: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300183: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300184: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300185: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300186: month must be in 1..12, not 0
2026-02-01 14:40:51,672 - WARNING - ⚠️ Could not extract date from 0022300187: month must be in 1..12, not 0
2026-02-01 14:40:51,673 - WARNING - ⚠️ Could not extract date from 0022300188: month must be in 1..12, not 0
2026-02-01 14:40:51,673 - WARNING - ⚠️ Could not extract date from 0022300189: month must be in 1..12, not 0
2026-02-01 14:40:51,673 - WARNING - ⚠️ Could not extract date from 0022300190: month must be in 1..12, not 0
2026-02-01 14:40:51,673 - WARNING - ⚠️ Could not extract date from 0022300191: month must be in 1..12, not 0
2026-02-01 14:40:51,673 - WARNING - ⚠️ Could not extract date from 0022300192: month must be in 1..12, not 0
2026-02-01 14:40:51,673 - WARNING - ⚠️ Could not extract date from 0022300193: month must be in 1..12, not 0
2026-02-01 14:40:51,673 - WARNING - ⚠️ Could not extract date from 0022300194: month must be in 1..12, not 0
2026-02-01 14:40:51,673 - WARNING - ⚠️ Could not extract date from 0022300195: month must be in 1..12, not 0
2026-02-01 14:40:51,673 - WARNING - ⚠️ Could not extract date from 0022300196: month must be in 1..12, not 0
2026-02-01 14:40:51,673 - WARNING - ⚠️ Could not extract date from 0022300197: month must be in 1..12, not 0
2026-02-01 14:40:51,674 - WARNING - ⚠️ Could not extract date from 0022300198: month must be in 1..12, not 0
2026-02-01 14:40:51,674 - WARNING - ⚠️ Could not extract date from 0022300199: month must be in 1..12, not 0
2026-02-01 14:40:51,674 - WARNING - ⚠️ Could not extract date from 0022300200: month must be in 1..12, not 0
2026-02-01 14:40:51,674 - WARNING - ⚠️ Could not extract date from 0022300201: month must be in 1..12, not 0
2026-02-01 14:40:51,674 - WARNING - ⚠️ Could not extract date from 0022300202: month must be in 1..12, not 0
2026-02-01 14:40:51,674 - WARNING - ⚠️ Could not extract date from 0022300203: month must be in 1..12, not 0
2026-02-01 14:40:51,674 - WARNING - ⚠️ Could not extract date from 0022300204: month must be in 1..12, not 0
2026-02-01 14:40:51,674 - WARNING - ⚠️ Could not extract date from 0022300205: month must be in 1..12, not 0
2026-02-01 14:40:51,674 - WARNING - ⚠️ Could not extract date from 0022300206: month must be in 1..12, not 0
2026-02-01 14:40:51,674 - WARNING - ⚠️ Could not extract date from 0022300207: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300208: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300209: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300210: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300211: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300212: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300213: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300214: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300215: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300216: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300217: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300218: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300219: month must be in 1..12, not 0
2026-02-01 14:40:51,675 - WARNING - ⚠️ Could not extract date from 0022300220: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300221: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300222: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300223: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300224: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300225: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300226: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300227: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300228: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300229: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300230: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300231: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300232: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300233: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300234: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300235: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300236: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300237: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300238: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300239: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300240: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300241: month must be in 1..12, not 0
2026-02-01 14:40:51,676 - WARNING - ⚠️ Could not extract date from 0022300242: month must be in 1..12, not 0
2026-02-01 14:40:51,677 - WARNING - ⚠️ Could not extract date from 0022300243: month must be in 1..12, not 0
2026-02-01 14:40:51,677 - WARNING - ⚠️ Could not extract date from 0022300244: month must be in 1..12, not 0
2026-02-01 14:40:51,677 - WARNING - ⚠️ Could not extract date from 0022300245: month must be in 1..12, not 0
2026-02-01 14:40:51,677 - WARNING - ⚠️ Could not extract date from 0022300246: month must be in 1..12, not 0
2026-02-01 14:40:51,677 - WARNING - ⚠️ Could not extract date from 0022300247: month must be in 1..12, not 0
2026-02-01 14:40:51,677 - WARNING - ⚠️ Could not extract date from 0022300248: month must be in 1..12, not 0
2026-02-01 14:40:51,677 - WARNING - ⚠️ Could not extract date from 0022300249: month must be in 1..12, not 0
2026-02-01 14:40:51,677 - WARNING - ⚠️ Could not extract date from 0022300250: month must be in 1..12, not 0
2026-02-01 14:40:51,677 - WARNING - ⚠️ Could not extract date from 0022300251: month must be in 1..12, not 0
2026-02-01 14:40:51,677 - WARNING - ⚠️ Could not extract date from 0022300252: month must be in 1..12, not 0
2026-02-01 14:40:51,677 - WARNING - ⚠️ Could not extract date from 0022300253: month must be in 1..12, not 0
2026-02-01 14:40:51,677 - WARNING - ⚠️ Could not extract date from 0022300254: month must be in 1..12, not 0
